"CGM","Code","Message"
"Dexcom G6 (DCI)","DCI001","Internal error DCI001. Restart your smart device."
"Dexcom G6 (DCI)","DCI002","Internal error DCI002. Restart your smart device."
"Dexcom G6 (DCI)","DCI003","Internal error DCI003. Restart your smart device."
"Dexcom G6 (DCI)","DCI004","Internal error DCI004. Restart your smart device."
"Dexcom G6 (DCI)","DCI005","Internal error DCI005. Restart your smart device."
"Dexcom G6 (DCI)","DCI006","Internal error DCI006. Restart your smart device."
"Dexcom G6 (DCI)","DCI007","Internal error DCI007. Restart your smart device."
"Dexcom G6 (DCI)","DCI008","Internal error DCI008. Restart your smart device."
"Dexcom G6 (DCI)","DCI009","Internal error DCI009. Restart your smart device."
"Dexcom G6 (DCI)","DCI010","Internal error DCI010. Restart your smart device."
"Dexcom G6 (DCI)","DCI011","Internal error DCI011. Restart your smart device."
"Dexcom G6 (DCI)","DCI012","Internal error DCI012. Restart your smart device."
"Dexcom G6 (DCI)","DCI013","Internal error DCI013. Restart your smart device."
"Dexcom G6 (DCI)","DCI014","Internal error DCI014. Restart your smart device."
"Dexcom G6 (DCI)","DCI015","Internal error DCI015. Restart your smart device."
"Dexcom G6 (DCI)","DCI016","Internal error DCI016. Restart your smart device."
"Dexcom G6 (DCI)","DCI017","Internal error DCI017. Restart your smart device."
"Dexcom G6 (DCI)","DCI018","Internal error DCI018. Restart your smart device."
"Dexcom G6 (DCI)","DCI019","Internal error DCI019. Restart your smart device."
"Dexcom G6 (DCI)","DCI020","Internal error DCI020. Restart your smart device."
"Dexcom G6 (DCI)","DCI021","Internal error DCI021. Restart your smart device."
"Dexcom G6 (DCI)","DCI022","Internal error DCI022. Restart your smart device."
"Dexcom G6 (DCI)","DCI023","Internal error DCI023. Restart your smart device."
"Dexcom G6 (DCI)","DCI024","Internal error DCI024. Restart your smart device."
"Dexcom G6 (DCI)","DCI025","Internal error DCI025. Restart your smart device."
"Dexcom G6 (DCI)","DCI026","Internal error DCI026. Restart your smart device."
"Dexcom G6 (DCI)","DCI027","Internal error DCI027. Restart your smart device."
"Dexcom G6 (DCI)","DCI028","Internal error DCI028. Restart your smart device."
"Dexcom G6 (DCI)","DCI029","Internal error DCI029. Restart your smart device."
"Dexcom G6 (DCI)","DCI030","Internal error DCI030. Restart your smart device."
"Dexcom G6 (DCI)","DCI031","Internal error DCI031. Restart your smart device."
"Dexcom G6 (DCI)","DCI032","Internal error DCI032. Restart your smart device."
"Dexcom G6 (DCI)","DCI033","Internal error DCI033. Restart your smart device."
"Dexcom G6 (DCI)","DCI034","Internal error DCI034. Restart your smart device."
"Dexcom G6 (DCI)","DCI035","Internal error DCI035. Restart your smart device."
"Dexcom G6 (DCI)","DCI036","Internal error DCI036. Restart your smart device."
"Dexcom G6 (DCI)","DCI037","Internal error DCI037. Restart your smart device."
